,Point,Coeff,Intercept,R2,2025,2030,2035,2040,2050,2075,2100,yearcoeff_mm,Lat,Long
145,"(30.5, -114.5)",-2.3008575505012197e-06,0.5295733474519436,0.003444149641073646,0.5025060592278473,0.498304693340632,0.4941033274534168,0.4899019615662016,0.4814969289342206,0.46048779864059397,0.43947866834696736,-0.8398130059329452,30.5,-114.5
146,"(30.5, -113.5)",-1.7918309227308515e-06,0.5179633143998709,0.0015769562445628882,0.4968842154248652,0.4936123321599586,0.4903404488950521,0.4870685656301456,0.4805230072694097,0.4641617991139543,0.44780059095849895,-0.6540182867967608,30.5,-113.5
147,"(30.5, -115.5)",-2.759155417890213e-06,0.5435833656623857,0.006842330944943908,0.5111246613263253,0.5060864435332577,0.5010482257401903,0.4960100079471227,0.4859308132055698,0.4607369650848142,0.4355431169640587,-1.0070917275299278,30.5,-115.5
148,"(30.5, -116.5)",-3.343782117586053e-06,0.5615916953149003,0.0149018633601834,0.5222554424836179,0.5161496963369058,0.5100439501901937,0.5039382040434816,0.4917233679679397,0.4611912934522614,0.4306592189365832,-1.2204804729189094,30.5,-116.5
149,"(30.5, -117.5)",-3.9373731339019525e-06,0.5830301493634461,0.031519930726967904,0.5367108918162236,0.5295212484737186,0.5223316051312136,0.5151419617887086,0.5007587377305648,0.4648065836449061,0.42885442955924735,-1.4371411938742125,30.5,-117.5
150,"(30.5, -118.5)",-4.245638058502512e-06,0.6036635872426366,0.051221803439888025,0.5537179011224129,0.5459653660275875,0.5382128309327618,0.5304602958379363,0.5149509800102267,0.4761840588980402,0.4374171377858538,-1.549657891353417,30.5,-118.5
167,"(30.5, -129.5)",7.038720302929732e-07,0.7416963104814217,0.0014981915190728225,0.7499766610457882,0.7512619313731033,0.7525472017004182,0.7538324720277332,0.7564037165543934,0.7628307720629985,0.7692578275716037,0.25691329105693517,30.5,-129.5
168,"(30.5, -128.5)",-4.1784860078220677e-07,0.7332385656233661,0.0005067798863080952,0.7283229946837642,0.7275600031387359,0.7267970115937076,0.7260340200486792,0.7245076191100219,0.7206922435362796,0.7168768679625372,-0.15251473928550546,30.5,-128.5
169,"(30.5, -127.5)",-1.4111444873282982e-06,0.7242982048250204,0.005727072402377353,0.7076975010760903,0.7051207512422288,0.7025440014083674,0.6999672515745059,0.6948123407622956,0.6819271804485009,0.6690420201347063,-0.5150677378748288,30.5,-127.5
170,"(30.5, -126.5)",-2.2993577166364515e-06,0.7151911986279581,0.015564049814103531,0.6881415544494469,0.6839429272588687,0.6797443000682906,0.6755456728777124,0.6671461191388395,0.646150683828232,0.6251552485176246,-0.8392655665723049,30.5,-126.5
171,"(30.5, -125.5)",-2.992772635943282e-06,0.7056570264589036,0.02759843183535804,0.6704500491696669,0.6649852463364344,0.6595204435032019,0.6540556406699696,0.6431230422308687,0.6157960352920706,0.5884690283532725,-1.0923620121192978,30.5,-125.5
